;food_positive;service_positive;ambient_positive;price_positive;waiting_positive;rating;caption
66;1;0;0;0;0;5.0;pizz authentisch neapolitanisch bestellen kasse häufig schlange stoßzeit schwierig sitzplatz bekommen
67;1;0;0;0;0;3.0;pizza lecker innen ungemütlich service minute anstehen bestellen nochmal minute warten rest abräumen person bestellung entgegennehmen freundlich
68;1;0;1;0;0;3.0;reasonably bringing
69;0;0;0;0;0;3.0;versuchen anzurufen pizza mitnehmen bestell sowieso telefon scheinbar halten nötig sowieso leute vorbeikommen warterei kommen pizz ecke gegessen bleiben feuerwerk teig irgendwie gummiartig zutat fehlen gewiß geschmacklich flach umami erhoffen pizza gewinnen direkt vergleich
70;0;0;0;0;0;1.0;1h20
71;1;1;1;0;0;4.0;leck pizza ambiente eher lang verbleib weiterziehen positiv emotion fein
74;1;1;1;1;1;4.0;echt neapolitanisch pizza warten direkt rein platz bekommen cool leute essen
75;1;0;0;0;0;5.0;persönlich gut pizza bleiben ungeschlagen liebling bockenheimer kekspizza
76;1;1;0;0;0;4.0;neapolitanisch pizza besuch lohnen fall nachmittags persönlich konzept laut musik abend
77;0;0;0;0;0;1.0;frau minute stehen warten entscheiden setzen frei tisch außenbereich höchstens minute bestellung aufgeben sprechen
78;1;0;0;0;0;4.0;echt italiener schmecken sogar intensiv geschmack büffelmozzarella problem sitzplatz finden irgendwie klappts mitbringen
79;1;0;1;0;0;5.0;stück sicher gut pizza gegessen probieren verpassen
80;1;0;0;0;0;5.0;leck pizza teig extrem lecker vegan käse pizza essen getränk theke bestellen bezahlen
82;1;1;1;0;0;5.0;pizza niveau kommen gerne freundlich zuvorkommend personal samstag abends laufen zudem musik empfehlen
83;1;1;1;1;1;5.0;perfekt überragend wochenende super stimmung einfach essen schön abend
84;1;0;0;0;0;5.0;vernünftig neapolitanisch pizza danke
85;1;0;0;0;0;5.0;gut pizza stadt
86;1;0;0;0;0;5.0;spitzenklasse
87;1;0;1;0;0;5.0;pizz italien stimmung laden mega cool wahrscheinlich geschmackssach pizza laden besuchen
88;1;1;1;0;0;5.0;egal echt klasse nett personal angenehm ambiente
89;1;0;0;0;0;5.0;hervorragend neapolitanisch pizza
90;1;1;1;0;1;5.0;super fruendlich atmosphäre chillig schön auswahl pizzas lecker schnell fertig wartezeit qalität leiden
91;1;0;0;0;0;5.0;leck pizza hochpreisig
93;1;0;0;0;0;4.0;pizza durchschnitt atmosphäre eher jung volk preis fair
